order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,4,5,13249.92,0.05
2,2,229,3,4674.12,0.0
3,2,488,1,15059.85,0.15
4,2,70,2,12038.09,0.2
5,2,412,4,11602.98,0.0
6,3,294,5,31625.22,0.15
7,4,147,1,5461.47,0.1
8,4,194,1,26058.68,0.1
9,4,11,4,45186.42,0.15
10,4,158,3,5178.09,0.1
11,5,280,3,35292.58,0.0
12,6,440,1,17687.08,0.2
13,7,182,4,20847.83,0.1
14,7,402,2,43889.49,0.05
15,7,202,1,34596.11,0.05
16,8,260,5,11781.3,0.2
17,8,375,1,7190.54,0.0
18,8,436,3,19053.71,0.2
19,9,296,3,13351.42,0.05
20,9,469,2,17219.54,0.1
21,10,273,4,14628.05,0.0
22,10,409,2,31365.64,0.15
23,10,87,4,1627.11,0.15
24,10,32,4,24153.93,0.05
25,11,383,1,3637.98,0.0
26,11,89,2,4206.25,0.1
27,11,241,3,7197.62,0.15
28,12,163,4,39943.3,0.05
29,12,181,3,48053.89,0.15
30,12,404,4,10696.65,0.0
31,13,431,4,26344.49,0.05
32,13,171,1,23310.46,0.2
33,14,113,2,2201.27,0.05
34,15,294,4,31625.22,0.15
35,16,76,5,16826.87,0.0
36,16,134,2,30454.77,0.2
37,16,213,2,19146.73,0.15
38,16,372,4,33623.49,0.1
39,17,312,3,4367.82,0.05
40,18,342,1,49432.96,0.0
41,18,171,3,23310.46,0.1
42,18,369,2,25681.86,0.15
43,18,193,3,41693.59,0.15
44,19,490,4,8531.45,0.1
45,19,17,5,35141.02,0.05
46,19,69,2,16466.01,0.15
47,20,480,2,23384.27,0.1
48,21,113,5,2201.27,0.1
49,21,243,3,45895.11,0.05
50,21,13,2,19862.0,0.0
51,22,110,5,39188.56,0.0
52,22,487,1,51498.56,0.1
53,23,133,1,44016.72,0.0
54,23,359,1,25413.36,0.05
55,24,282,2,26044.99,0.2
56,24,422,1,22558.81,0.0
57,24,13,4,19862.0,0.2
58,25,420,2,43763.85,0.0
59,25,116,3,23593.73,0.2
60,25,396,5,16795.74,0.05
61,25,270,3,54924.08,0.0
62,26,492,3,47504.36,0.05
63,27,317,4,7593.16,0.1
64,27,121,5,22897.07,0.15
65,28,203,1,13222.37,0.0
66,28,97,5,47038.62,0.05
67,29,153,2,13249.34,0.05
68,29,207,3,48179.55,0.1
69,29,427,3,15424.05,0.0
70,30,68,5,22580.31,0.1
71,30,299,4,28160.0,0.0
72,30,53,3,14442.74,0.2
73,31,397,2,36891.62,0.1
74,31,350,5,37191.0,0.15
75,31,218,2,39130.61,0.15
76,31,211,5,17008.54,0.1
77,32,165,5,7424.06,0.0
78,32,51,3,49021.09,0.05
79,33,140,3,25285.19,0.0
80,34,4,3,13249.92,0.1
81,34,116,3,23593.73,0.0
82,34,315,5,31255.79,0.05
83,34,35,5,11007.11,0.05
84,35,130,4,8124.61,0.15
85,36,152,2,28980.14,0.2
86,36,54,2,7243.54,0.15
87,36,2,5,22453.25,0.15
88,36,405,4,34760.45,0.05
89,37,367,3,4967.48,0.05
90,37,378,4,9181.44,0.05
91,37,322,5,21565.36,0.0
92,38,5,1,19056.25,0.1
93,38,375,2,7190.54,0.15
94,38,416,1,24470.85,0.05
95,39,239,4,11924.79,0.2
96,39,61,2,39446.17,0.1
97,40,18,1,3467.12,0.2
98,40,382,3,4287.53,0.2
99,40,406,4,7913.09,0.1
100,41,22,5,22488.25,0.05
101,41,388,2,39586.99,0.1
102,42,196,3,18251.33,0.1
103,43,16,1,25348.88,0.15
104,44,210,5,25341.49,0.05
105,44,303,5,26383.85,0.2
106,44,352,2,30333.56,0.15
107,45,414,4,12326.91,0.0
108,45,21,2,22271.15,0.05
109,46,22,3,22488.25,0.2
110,46,111,1,39741.31,0.1
111,46,170,5,6327.54,0.1
112,46,471,1,17418.35,0.15
113,47,130,1,8124.61,0.0
114,47,125,1,32936.79,0.1
115,47,97,5,47038.62,0.15
116,47,395,4,24521.72,0.2
117,48,168,2,33620.0,0.0
118,48,24,3,25521.71,0.0
119,49,122,5,34606.9,0.15
120,49,89,1,4206.25,0.1
121,50,262,3,32187.59,0.0
122,51,112,4,39956.62,0.2
123,52,356,5,44520.68,0.05
124,52,448,4,29007.67,0.1
125,52,21,2,22271.15,0.0
126,52,419,3,40445.0,0.15
127,53,381,5,30556.81,0.0
128,53,14,4,41409.5,0.0
129,53,350,5,37191.0,0.0
130,53,170,2,6327.54,0.05
131,54,89,5,4206.25,0.15
132,54,35,4,11007.11,0.05
133,55,342,3,49432.96,0.15
134,56,338,4,32641.11,0.2
135,57,247,3,35572.15,0.2
136,57,269,1,1614.11,0.15
137,57,163,3,39943.3,0.2
138,57,297,3,29853.43,0.15
139,58,267,4,9296.32,0.0
140,58,469,4,17219.54,0.2
141,58,100,1,12331.08,0.05
142,58,247,1,35572.15,0.05
143,59,397,5,36891.62,0.0
144,59,463,4,34381.05,0.2
145,59,47,1,18453.5,0.2
146,60,417,2,27443.71,0.2
147,61,379,1,18279.0,0.1
148,61,367,4,4967.48,0.0
149,61,402,2,43889.49,0.2
150,61,155,3,55551.73,0.2
151,62,26,1,52073.05,0.0
152,62,297,4,29853.43,0.15
153,62,182,2,20847.83,0.05
154,62,490,4,8531.45,0.05
155,63,301,4,14830.31,0.1
156,63,312,3,4367.82,0.05
157,63,465,3,32112.41,0.05
158,64,308,4,3631.05,0.05
159,64,255,2,1735.99,0.0
160,64,433,1,2854.85,0.2
161,65,393,2,27603.85,0.1
162,65,316,1,25751.63,0.15
163,65,403,1,5967.56,0.05
164,65,318,4,26198.44,0.1
165,66,371,1,20339.28,0.1
166,66,286,2,14620.39,0.1
167,66,423,5,52005.58,0.15
168,67,159,3,57800.92,0.1
169,67,436,2,19053.71,0.05
170,67,492,5,47504.36,0.05
171,67,103,3,21384.73,0.0
172,68,477,1,36320.2,0.1
173,69,73,1,18249.3,0.15
174,70,235,1,44097.68,0.0
175,70,42,5,53561.4,0.1
176,71,427,2,15424.05,0.05
177,71,151,3,12042.96,0.1
178,72,482,5,15387.56,0.15
179,73,104,3,14138.68,0.0
180,73,251,3,26496.61,0.05
181,73,216,3,36166.6,0.05
182,73,454,2,44209.41,0.05
183,74,260,4,11781.3,0.15
184,74,491,3,42345.76,0.05
185,74,157,4,27379.29,0.1
186,74,289,4,1294.0,0.2
187,75,112,1,39956.62,0.1
188,75,263,3,29310.21,0.2
189,76,426,4,42439.67,0.05
190,76,207,4,48179.55,0.0
191,77,110,5,39188.56,0.2
192,77,416,4,24470.85,0.05
193,77,373,3,46107.88,0.1
194,77,254,1,42304.77,0.15
195,78,133,3,44016.72,0.0
196,78,124,5,49813.64,0.2
197,79,339,5,42321.57,0.1
198,79,88,1,20815.8,0.0
199,80,435,2,52683.2,0.15
200,80,260,1,11781.3,0.1
201,80,408,3,45028.92,0.2
202,81,490,3,8531.45,0.0
203,81,66,5,38964.38,0.2
204,82,89,4,4206.25,0.1
205,82,114,1,21544.17,0.0
206,82,299,4,28160.0,0.1
207,82,297,3,29853.43,0.2
208,83,174,2,5831.14,0.05
209,83,138,5,9566.5,0.15
210,83,74,1,50657.4,0.2
211,83,105,3,1046.31,0.0
212,84,359,1,25413.36,0.15
213,84,7,5,25901.12,0.05
214,85,462,5,43633.18,0.1
215,85,125,5,32936.79,0.0
216,85,268,2,31201.04,0.1
217,85,291,2,51207.83,0.05
218,86,448,5,29007.67,0.2
219,87,98,1,46611.59,0.2
220,87,96,5,38107.57,0.15
221,87,356,5,44520.68,0.1
222,87,109,4,2722.29,0.15
223,88,398,1,50121.09,0.05
224,88,414,4,12326.91,0.15
225,89,296,3,13351.42,0.0
226,89,160,2,17812.22,0.2
227,89,30,4,30577.24,0.0
228,90,81,5,12482.01,0.05
229,90,406,2,7913.09,0.1
230,91,246,3,22153.88,0.2
231,91,122,1,34606.9,0.05
232,91,496,4,14425.06,0.05
233,92,254,5,42304.77,0.1
234,92,464,5,32495.39,0.15
235,92,162,1,11732.2,0.2
236,93,98,4,46611.59,0.2
237,93,286,2,14620.39,0.2
238,94,453,2,16464.51,0.2
239,95,25,4,11668.83,0.15
240,95,233,1,9453.93,0.15
241,96,111,2,39741.31,0.15
242,96,293,3,26438.73,0.05
243,96,483,4,15826.93,0.15
244,96,363,4,2154.84,0.05
245,97,436,3,19053.71,0.0
